LEVEL,POSITION,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,6499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,14499
Senior,FULL STACK DEVELOPER,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,10499
Senior,BACK-END DEVELOPER,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,15499
Junior,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,7499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,19499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,11499
Middle,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,27499
Senior,FULL STACK DEVELOPER,Erkek,Outsource,Geçici Hibrit,yurt_disi,TRY,14499
Middle,FULL STACK DEVELOPER,Erkek,E-Ticaret,Remote,yurt_disi,TRY,13499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,17499
Middle,FULL STACK DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,21499
Senior,SOFTWARE DEVELOPMENT MANAGER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,39499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,15499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_disi,TRY,9499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,18499
Middle,FRONT-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,20499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,9499
Middle,FRONT-END DEVELOPER,Kadın,Outsource,Geçici Remote,yurt_ici,TRY,12499
Middle,QA / TEST AUTOMATION DEVELOPER,Erkek,E-Ticaret,Geçici Remote,yurt_ici,TRY,16499
Senior,TEAM / TECH LEAD,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,29499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,15499
Middle,BACK-END DEVELOPER,Erkek,E-Ticaret,Hibrit,yurt_ici,TRY,25499
Middle,FRONT-END DEVELOPER,Erkek,Oyun,Hibrit,yurt_ici,TRY,20499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,15499
Junior,FRONT-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,7499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,24499
Middle,FRONT-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,20499
Junior,QA / TEST AUTOMATION DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,10499
Middle,DEVOPS ENGINEER,Kadın,E-Ticaret,Remote,yurt_ici,TRY,17499
Senior,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,EUR,68135
Middle,FRONT-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,17499
Junior,FRONT-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,18499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,USD,46565
Middle,FULL STACK DEVELOPER,Erkek,Diger,Remote,yurt_ici,TRY,13499
Senior,TEAM / TECH LEAD,Erkek,Startup,Hibrit,yurt_ici,TRY,15499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,30499
Senior,TEAM / TECH LEAD,Erkek,Startup,Ofis,yurt_ici,TRY,16499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,8499
Middle,FULL STACK DEVELOPER,Erkek,Outsource,Geçici Remote,yurt_disi,EUR,48665
Junior,BACK-END DEVELOPER,Erkek,Startup,Ofis,yurt_ici,TRY,9499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,10499
Senior,BACK-END DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,10499
Middle,DATA SCIENTIST,Erkek,Oyun,Hibrit,yurt_ici,TRY,40499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,23499
Middle,FULL STACK DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,USD,195605
Middle,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,10499
Middle,FRONT-END DEVELOPER,Kadın,Kurumsal,Hibrit,yurt_ici,TRY,9499
Junior,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,17499
Senior,DATA SCIENTIST,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,18499
Junior,FRONT-END DEVELOPER,Erkek,Kurumsal,Ofis,yurt_ici,TRY,5499
Senior,FRONT-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,30499
Middle,SOFTWARE ARCHITECT,Erkek,Kurumsal,Geçici Remote,yurt_disi,USD,65195
Junior,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,5499
Senior,TEAM / TECH LEAD,Erkek,Startup,Remote,yurt_ici,TRY,37499
Junior,FRONT-END DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,19499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,16499
Senior,EMBEDDED SOFTWARE DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_disi,EUR,87605
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,7499
Middle,FRONT-END DEVELOPER,Erkek,Outsource,Ofis,yurt_disi,EUR,48665
Junior,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,5499
Junior,QA / TEST AUTOMATION DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,7499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_disi,EUR,68135
